source,source_type,route,origin,destination,travel_date,booking_window,base_fare,taxes,convenience_fee,total_fare,fare_class,availability,scrape_timestamp,flight_number,airline_code,raw_payload
Cleartrip,ota,DEL-BLR,DEL,BLR,2026-10-23,T+45,4600.84,965.73,350.0,5916.57,Economy,Available,2026-09-08T08:51:43.552017,SG-8101,SG,"{'scraped_at': '2026-09-08T08:51:43.551946', 'source': 'Cleartrip'}"
Ixigo,ota,DEL-BLR,DEL,BLR,2026-10-23,T+45,4661.35,937.0,350.0,5948.35,Economy,Available,2026-09-08T08:51:42.506044,IX-2841,IX,"{'scraped_at': '2026-09-08T08:51:42.505971', 'source': 'Ixigo'}"
Goibibo,ota,DEL-BLR,DEL,BLR,2026-10-23,T+45,4600.99,853.72,350.0,5804.71,Economy,Available,2026-09-08T08:51:52.009669,6E-6104,6E,"{'scraped_at': '2026-09-08T08:51:52.009616', 'source': 'Goibibo'}"
IndiGo,airline,BOM-BLR,BOM,BLR,2026-09-09,T+1,5624.38,1267.37,0.0,6891.75,Economy,Available,2026-09-08T08:51:51.982718,6E-512,6E,"{'scraped_at': '2026-09-08T08:51:51.982665', 'source': 'IndiGo'}"
Air India,airline,BOM-BLR,BOM,BLR,2026-09-09,T+1,6368.88,1184.86,0.0,7553.74,Economy,Available,2026-09-08T08:51:52.017269,AI-805,AI,"{'scraped_at': '2026-09-08T08:51:52.017212', 'source': 'Air India'}"
Akasa Air,airline,BOM-BLR,BOM,BLR,2026-09-09,T+1,5099.21,1137.99,0.0,6237.2,Economy,Available,2026-09-08T08:51:42.579789,QP-1301,QP,"{'scraped_at': '2026-09-08T08:51:42.579738', 'source': 'Akasa Air'}"
SpiceJet,airline,BOM-BLR,BOM,BLR,2026-09-09,T+1,5134.24,1135.65,0.0,6269.89,Economy,Available,2026-09-08T08:51:42.956096,SG-8169,SG,"{'scraped_at': '2026-09-08T08:51:42.956028', 'source': 'SpiceJet'}"
Air India Express,airline,BOM-BLR,BOM,BLR,2026-09-09,T+1,5036.94,1161.72,0.0,6198.66,Economy,Available,2026-09-08T08:51:44.778061,IX-1422,IX,"{'scraped_at': '2026-09-08T08:51:44.777999', 'source': 'Air India Express'}"
MakeMyTrip,ota,BOM-BLR,BOM,BLR,2026-09-09,T+1,5641.71,1291.68,350.0,7283.39,Economy,Available,2026-09-08T08:51:52.060089,6E-204,6E,"{'scraped_at': '2026-09-08T08:51:52.060036', 'source': 'MakeMyTrip'}"
Yatra,ota,BOM-BLR,BOM,BLR,2026-09-09,T+1,5658.89,1275.6,350.0,7284.49,Economy,Available,2026-09-08T08:51:49.994414,AI-506,AI,"{'scraped_at': '2026-09-08T08:51:49.994312', 'source': 'Yatra'}"
EaseMyTrip,ota,BOM-BLR,BOM,BLR,2026-09-09,T+1,5653.73,1161.43,0.0,6815.16,Economy,Available,2026-09-08T08:51:42.097915,QP-1102,QP,"{'scraped_at': '2026-09-08T08:51:42.097846', 'source': 'EaseMyTrip'}"
Cleartrip,ota,BOM-BLR,BOM,BLR,2026-09-09,T+1,5793.41,1272.74,350.0,7416.15,Economy,Available,2026-09-08T08:51:43.366964,SG-8101,SG,"{'scraped_at': '2026-09-08T08:51:43.366889', 'source': 'Cleartrip'}"
Ixigo,ota,BOM-BLR,BOM,BLR,2026-09-09,T+1,5471.99,1015.33,350.0,6837.32,Economy,Available,2026-09-08T08:51:42.451216,IX-2841,IX,"{'scraped_at': '2026-09-08T08:51:42.451189', 'source': 'Ixigo'}"
Goibibo,ota,BOM-BLR,BOM,BLR,2026-09-09,T+1,5522.21,1157.81,350.0,7030.02,Economy,Available,2026-09-08T08:51:52.602697,6E-6104,6E,"{'scraped_at': '2026-09-08T08:51:52.602643', 'source': 'Goibibo'}"
IndiGo,airline,BOM-BLR,BOM,BLR,2026-09-15,T+7,4198.75,816.49,0.0,5015.24,Economy,Available,2026-09-08T08:51:52.609792,6E-512,6E,"{'scraped_at': '2026-09-08T08:51:52.609737', 'source': 'IndiGo'}"
Air India,airline,BOM-BLR,BOM,BLR,2026-09-15,T+7,4816.28,1074.76,0.0,5891.04,Economy,Available,2026-09-08T08:51:52.652892,AI-805,AI,"{'scraped_at': '2026-09-08T08:51:52.652829', 'source': 'Air India'}"
Akasa Air,airline,BOM-BLR,BOM,BLR,2026-09-15,T+7,4171.1,766.79,0.0,4937.89,Economy,Available,2026-09-08T08:51:42.505202,QP-1301,QP,"{'scraped_at': '2026-09-08T08:51:42.505126', 'source': 'Akasa Air'}"
SpiceJet,airline,BOM-BLR,BOM,BLR,2026-09-15,T+7,4372.09,815.46,0.0,5187.55,Economy,Available,2026-09-08T08:51:42.969584,SG-8169,SG,"{'scraped_at': '2026-09-08T08:51:42.969523', 'source': 'SpiceJet'}"
Air India Express,airline,BOM-BLR,BOM,BLR,2026-09-15,T+7,4201.26,804.02,0.0,5005.28,Economy,Available,2026-09-08T08:51:44.447490,IX-1422,IX,"{'scraped_at': '2026-09-08T08:51:44.447423', 'source': 'Air India Express'}"
MakeMyTrip,ota,BOM-BLR,BOM,BLR,2026-09-15,T+7,4503.53,872.21,350.0,5725.74,Economy,Available,2026-09-08T08:51:51.996877,6E-204,6E,"{'scraped_at': '2026-09-08T08:51:51.996807', 'source': 'MakeMyTrip'}"
Yatra,ota,BOM-BLR,BOM,BLR,2026-09-15,T+7,4360.88,853.14,350.0,5564.02,Economy,Available,2026-09-08T08:51:49.853117,AI-506,AI,"{'scraped_at': '2026-09-08T08:51:49.853046', 'source': 'Yatra'}"
EaseMyTrip,ota,BOM-BLR,BOM,BLR,2026-09-15,T+7,4486.17,993.49,0.0,5479.66,Economy,Available,2026-09-08T08:51:42.095077,QP-1102,QP,"{'scraped_at': '2026-09-08T08:51:42.095043', 'source': 'EaseMyTrip'}"
Cleartrip,ota,BOM-BLR,BOM,BLR,2026-09-15,T+7,4676.63,1096.77,350.0,6123.4,Economy,Available,2026-09-08T08:51:43.555776,SG-8101,SG,"{'scraped_at': '2026-09-08T08:51:43.555739', 'source': 'Cleartrip'}"
Ixigo,ota,BOM-BLR,BOM,BLR,2026-09-15,T+7,4315.29,805.33,350.0,5470.62,Economy,Available,2026-09-08T08:51:42.815642,IX-2841,IX,"{'scraped_at': '2026-09-08T08:51:42.815577', 'source': 'Ixigo'}"
Goibibo,ota,BOM-BLR,BOM,BLR,2026-09-15,T+7,4533.58,1026.01,350.0,5909.59,Economy,Available,2026-09-08T08:51:52.035054,6E-6104,6E,"{'scraped_at': '2026-09-08T08:51:52.034998', 'source': 'Goibibo'}"
IndiGo,airline,BOM-BLR,BOM,BLR,2026-09-23,T+15,3591.85,787.57,0.0,4379.42,Economy,Available,2026-09-08T08:51:52.613993,6E-512,6E,"{'scraped_at': '2026-09-08T08:51:52.613939', 'source': 'IndiGo'}"
Air India,airline,BOM-BLR,BOM,BLR,2026-09-23,T+15,4257.17,853.78,0.0,5110.95,Economy,Available,2026-09-08T08:51:52.145918,AI-805,AI,"{'scraped_at': '2026-09-08T08:51:52.145862', 'source': 'Air India'}"
Akasa Air,airline,BOM-BLR,BOM,BLR,2026-09-23,T+15,3577.34,708.18,0.0,4285.52,Economy,Available,2026-09-08T08:51:42.579521,QP-1301,QP,"{'scraped_at': '2026-09-08T08:51:42.579476', 'source': 'Akasa Air'}"
SpiceJet,airline,BOM-BLR,BOM,BLR,2026-09-23,T+15,3848.13,737.44,0.0,4585.57,Economy,Available,2026-09-08T08:51:42.972153,SG-8169,SG,"{'scraped_at': '2026-09-08T08:51:42.972122', 'source': 'SpiceJet'}"
Air India Express,airline,BOM-BLR,BOM,BLR,2026-09-23,T+15,3618.68,658.86,0.0,4277.54,Economy,Available,2026-09-08T08:51:44.749048,IX-1422,IX,"{'scraped_at': '2026-09-08T08:51:44.749009', 'source': 'Air India Express'}"
MakeMyTrip,ota,BOM-BLR,BOM,BLR,2026-09-23,T+15,3835.21,838.29,350.0,5023.5,Economy,Available,2026-09-08T08:51:52.135580,6E-204,6E,"{'scraped_at': '2026-09-08T08:51:52.135523', 'source': 'MakeMyTrip'}"
Yatra,ota,BOM-BLR,BOM,BLR,2026-09-23,T+15,4003.24,821.45,350.0,5174.69,Economy,Available,2026-09-08T08:51:49.965609,AI-506,AI,"{'scraped_at': '2026-09-08T08:51:49.965538', 'source': 'Yatra'}"
EaseMyTrip,ota,BOM-BLR,BOM,BLR,2026-09-23,T+15,3605.11,700.0,0.0,4305.11,Economy,Available,2026-09-08T08:51:42.198231,QP-1102,QP,"{'scraped_at': '2026-09-08T08:51:42.198193', 'source': 'EaseMyTrip'}"
Cleartrip,ota,BOM-BLR,BOM,BLR,2026-09-23,T+15,3811.83,756.72,350.0,4918.55,Economy,Available,2026-09-08T08:51:43.557524,SG-8101,SG,"{'scraped_at': '2026-09-08T08:51:43.557458', 'source': 'Cleartrip'}"
Ixigo,ota,BOM-BLR,BOM,BLR,2026-09-23,T+15,3797.9,812.07,350.0,4959.97,Economy,Available,2026-09-08T08:51:42.451367,IX-2841,IX,"{'scraped_at': '2026-09-08T08:51:42.451348', 'source': 'Ixigo'}"
Goibibo,ota,BOM-BLR,BOM,BLR,2026-09-23,T+15,3697.87,845.76,350.0,4893.63,Economy,Available,2026-09-08T08:51:52.048079,6E-6104,6E,"{'scraped_at': '2026-09-08T08:51:52.048024', 'source': 'Goibibo'}"
IndiGo,airline,BOM-BLR,BOM,BLR,2026-10-08,T+30,3265.86,662.7,0.0,3928.56,Economy,Available,2026-09-08T08:51:52.053754,6E-512,6E,"{'scraped_at': '2026-09-08T08:51:52.053700', 'source': 'IndiGo'}"
Air India,airline,BOM-BLR,BOM,BLR,2026-10-08,T+30,3826.98,875.61,0.0,4702.59,Economy,Available,2026-09-08T08:51:52.089238,AI-805,AI,"{'scraped_at': '2026-09-08T08:51:52.089173', 'source': 'Air India'}"
Akasa Air,airline,BOM-BLR,BOM,BLR,2026-10-08,T+30,3247.03,595.91,0.0,3842.94,Economy,Available,2026-09-08T08:51:42.708424,QP-1301,QP,"{'scraped_at': '2026-09-08T08:51:42.708329', 'source': 'Akasa Air'}"
SpiceJet,airline,BOM-BLR,BOM,BLR,2026-10-08,T+30,3267.87,689.21,0.0,3957.08,Economy,Available,2026-09-08T08:51:42.972501,SG-8169,SG,"{'scraped_at': '2026-09-08T08:51:42.972473', 'source': 'SpiceJet'}"
Air India Express,airline,BOM-BLR,BOM,BLR,2026-10-08,T+30,3043.66,671.35,0.0,3715.01,Economy,Available,2026-09-08T08:51:44.722947,IX-1422,IX,"{'scraped_at': '2026-09-08T08:51:44.722885', 'source': 'Air India Express'}"
MakeMyTrip,ota,BOM-BLR,BOM,BLR,2026-10-08,T+30,3282.83,761.35,350.0,4394.18,Economy,Available,2026-09-08T08:51:52.690055,6E-204,6E,"{'scraped_at': '2026-09-08T08:51:52.690001', 'source': 'MakeMyTrip'}"
Yatra,ota,BOM-BLR,BOM,BLR,2026-10-08,T+30,3305.79,602.01,350.0,4257.8,Economy,Available,2026-09-08T08:51:49.821708,AI-506,AI,"{'scraped_at': '2026-09-08T08:51:49.821636', 'source': 'Yatra'}"
EaseMyTrip,ota,BOM-BLR,BOM,BLR,2026-10-08,T+30,3169.45,633.57,0.0,3803.02,Economy,Available,2026-09-08T08:51:42.095360,QP-1102,QP,"{'scraped_at': '2026-09-08T08:51:42.095260', 'source': 'EaseMyTrip'}"
Cleartrip,ota,BOM-BLR,BOM,BLR,2026-10-08,T+30,3540.63,721.04,350.0,4611.67,Economy,Available,2026-09-08T08:51:43.344567,SG-8101,SG,"{'scraped_at': '2026-09-08T08:51:43.344496', 'source': 'Cleartrip'}"
Ixigo,ota,BOM-BLR,BOM,BLR,2026-10-08,T+30,3326.7,714.16,350.0,4390.86,Economy,Available,2026-09-08T08:51:42.451621,IX-2841,IX,"{'scraped_at': '2026-09-08T08:51:42.451603', 'source': 'Ixigo'}"
Goibibo,ota,BOM-BLR,BOM,BLR,2026-10-08,T+30,3434.48,801.24,350.0,4585.72,Economy,Available,2026-09-08T08:51:52.677253,6E-6104,6E,"{'scraped_at': '2026-09-08T08:51:52.677187', 'source': 'Goibibo'}"
IndiGo,airline,BOM-BLR,BOM,BLR,2026-10-23,T+45,3197.46,722.38,0.0,3919.84,Economy,Available,2026-09-08T08:51:52.104191,6E-512,6E,"{'scraped_at': '2026-09-08T08:51:52.104136', 'source': 'IndiGo'}"
Air India,airline,BOM-BLR,BOM,BLR,2026-10-23,T+45,3521.87,701.91,0.0,4223.78,Economy,Available,2026-09-08T08:51:52.645210,AI-805,AI,"{'scraped_at': '2026-09-08T08:51:52.645156', 'source': 'Air India'}"
Akasa Air,airline,BOM-BLR,BOM,BLR,2026-10-23,T+45,3049.89,615.11,0.0,3665.0,Economy,Available,2026-09-08T08:51:42.703514,QP-1301,QP,"{'scraped_at': '2026-09-08T08:51:42.703435', 'source': 'Akasa Air'}"
SpiceJet,airline,BOM-BLR,BOM,BLR,2026-10-23,T+45,2958.41,675.96,0.0,3634.37,Economy,Available,2026-09-08T08:51:42.973032,SG-8169,SG,"{'scraped_at': '2026-09-08T08:51:42.973004', 'source': 'SpiceJet'}"
Air India Express,airline,BOM-BLR,BOM,BLR,2026-10-23,T+45,2993.78,607.56,0.0,3601.34,Economy,Available,2026-09-08T08:51:44.454015,IX-1422,IX,"{'scraped_at': '2026-09-08T08:51:44.453946', 'source': 'Air India Express'}"
MakeMyTrip,ota,BOM-BLR,BOM,BLR,2026-10-23,T+45,3141.17,581.62,350.0,4072.79,Economy,Available,2026-09-08T08:51:52.175400,6E-204,6E,"{'scraped_at': '2026-09-08T08:51:52.175334', 'source': 'MakeMyTrip'}"
Yatra,ota,BOM-BLR,BOM,BLR,2026-10-23,T+45,3090.41,730.52,350.0,4170.93,Economy,Available,2026-09-08T08:51:49.904695,AI-506,AI,"{'scraped_at': '2026-09-08T08:51:49.904643', 'source': 'Yatra'}"
EaseMyTrip,ota,BOM-BLR,BOM,BLR,2026-10-23,T+45,3064.48,591.28,0.0,3655.76,Economy,Available,2026-09-08T08:51:42.201363,QP-1102,QP,"{'scraped_at': '2026-09-08T08:51:42.201313', 'source': 'EaseMyTrip'}"
Cleartrip,ota,BOM-BLR,BOM,BLR,2026-10-23,T+45,3238.62,733.94,350.0,4322.56,Economy,Available,2026-09-08T08:51:43.578423,SG-8101,SG,"{'scraped_at': '2026-09-08T08:51:43.578350', 'source': 'Cleartrip'}"
Ixigo,ota,BOM-BLR,BOM,BLR,2026-10-23,T+45,3009.07,628.83,350.0,3987.9,Economy,Available,2026-09-08T08:51:42.451497,IX-2841,IX,"{'scraped_at': '2026-09-08T08:51:42.451478', 'source': 'Ixigo'}"
Goibibo,ota,BOM-BLR,BOM,BLR,2026-10-23,T+45,3002.35,554.03,350.0,3906.38,Economy,Available,2026-09-08T08:51:52.168790,6E-6104,6E,"{'scraped_at': '2026-09-08T08:51:52.168728', 'source': 'Goibibo'}"
IndiGo,airline,DEL-CCU,DEL,CCU,2026-09-09,T+1,6112.59,1460.12,0.0,7572.71,Economy,Available,2026-09-08T08:51:52.081260,6E-512,6E,"{'scraped_at': '2026-09-08T08:51:52.081195', 'source': 'IndiGo'}"
Air India,airline,DEL-CCU,DEL,CCU,2026-09-09,T+1,7108.13,1703.79,0.0,8811.92,Economy,Available,2026-09-08T08:51:52.110853,AI-805,AI,"{'scraped_at': '2026-09-08T08:51:52.110800', 'source': 'Air India'}"
Akasa Air,airline,DEL-CCU,DEL,CCU,2026-09-09,T+1,5806.11,1356.57,0.0,7162.68,Economy,Available,2026-09-08T08:51:42.818352,QP-1301,QP,"{'scraped_at': '2026-09-08T08:51:42.818317', 'source': 'Akasa Air'}"
SpiceJet,airline,DEL-CCU,DEL,CCU,2026-09-09,T+1,6334.43,1283.21,0.0,7617.64,Economy,Available,2026-09-08T08:51:42.972336,SG-8169,SG,"{'scraped_at': '2026-09-08T08:51:42.972307', 'source': 'SpiceJet'}"
Air India Express,airline,DEL-CCU,DEL,CCU,2026-09-09,T+1,5903.88,1322.66,0.0,7226.54,Economy,Available,2026-09-08T08:51:44.727076,IX-1422,IX,"{'scraped_at': '2026-09-08T08:51:44.727012', 'source': 'Air India Express'}"
MakeMyTrip,ota,DEL-CCU,DEL,CCU,2026-09-09,T+1,6573.63,1241.7,350.0,8165.33,Economy,Available,2026-09-08T08:51:52.635687,6E-204,6E,"{'scraped_at': '2026-09-08T08:51:52.635633', 'source': 'MakeMyTrip'}"
Yatra,ota,DEL-CCU,DEL,CCU,2026-09-09,T+1,6686.23,1251.02,350.0,8287.25,Economy,Available,2026-09-08T08:51:49.949319,AI-506,AI,"{'scraped_at': '2026-09-08T08:51:49.949267', 'source': 'Yatra'}"
EaseMyTrip,ota,DEL-CCU,DEL,CCU,2026-09-09,T+1,6510.85,1376.55,0.0,7887.4,Economy,Available,2026-09-08T08:51:42.095679,QP-1102,QP,"{'scraped_at': '2026-09-08T08:51:42.095585', 'source': 'EaseMyTrip'}"
Cleartrip,ota,DEL-CCU,DEL,CCU,2026-09-09,T+1,6338.71,1415.7,350.0,8104.41,Economy,Available,2026-09-08T08:51:43.349241,SG-8101,SG,"{'scraped_at': '2026-09-08T08:51:43.349169', 'source': 'Cleartrip'}"
Ixigo,ota,DEL-CCU,DEL,CCU,2026-09-09,T+1,6299.41,1354.64,350.0,8004.05,Economy,Available,2026-09-08T08:51:42.502723,IX-2841,IX,"{'scraped_at': '2026-09-08T08:51:42.502656', 'source': 'Ixigo'}"
Goibibo,ota,DEL-CCU,DEL,CCU,2026-09-09,T+1,6592.24,1462.64,350.0,8404.88,Economy,Available,2026-09-08T08:51:52.708767,6E-6104,6E,"{'scraped_at': '2026-09-08T08:51:52.708712', 'source': 'Goibibo'}"
IndiGo,airline,DEL-CCU,DEL,CCU,2026-09-15,T+7,5012.03,1063.55,0.0,6075.58,Economy,Available,2026-09-08T08:51:52.666613,6E-512,6E,"{'scraped_at': '2026-09-08T08:51:52.666551', 'source': 'IndiGo'}"
Air India,airline,DEL-CCU,DEL,CCU,2026-09-15,T+7,5370.39,985.38,0.0,6355.77,Economy,Available,2026-09-08T08:51:52.697054,AI-805,AI,"{'scraped_at': '2026-09-08T08:51:52.697000', 'source': 'Air India'}"
Akasa Air,airline,DEL-CCU,DEL,CCU,2026-09-15,T+7,4600.81,937.28,0.0,5538.09,Economy,Available,2026-09-08T08:51:44.002156,QP-1301,QP,"{'scraped_at': '2026-09-08T08:51:44.002092', 'source': 'Akasa Air'}"
SpiceJet,airline,DEL-CCU,DEL,CCU,2026-09-15,T+7,5000.19,1188.66,0.0,6188.85,Economy,Available,2026-09-08T08:51:42.963127,SG-8169,SG,"{'scraped_at': '2026-09-08T08:51:42.963107', 'source': 'SpiceJet'}"
Air India Express,airline,DEL-CCU,DEL,CCU,2026-09-15,T+7,4548.14,952.96,0.0,5501.1,Economy,Available,2026-09-08T08:51:44.423367,IX-1422,IX,"{'scraped_at': '2026-09-08T08:51:44.423301', 'source': 'Air India Express'}"
MakeMyTrip,ota,DEL-CCU,DEL,CCU,2026-09-15,T+7,5115.75,975.43,350.0,6441.18,Economy,Available,2026-09-08T08:51:52.122983,6E-204,6E,"{'scraped_at': '2026-09-08T08:51:52.122928', 'source': 'MakeMyTrip'}"
Yatra,ota,DEL-CCU,DEL,CCU,2026-09-15,T+7,4896.32,1033.92,350.0,6280.24,Economy,Available,2026-09-08T08:51:50.016223,AI-506,AI,"{'scraped_at': '2026-09-08T08:51:50.016149', 'source': 'Yatra'}"
EaseMyTrip,ota,DEL-CCU,DEL,CCU,2026-09-15,T+7,5018.25,964.54,0.0,5982.79,Economy,Available,2026-09-08T08:51:42.096876,QP-1102,QP,"{'scraped_at': '2026-09-08T08:51:42.096840', 'source': 'EaseMyTrip'}"
Cleartrip,ota,DEL-CCU,DEL,CCU,2026-09-15,T+7,5184.81,1050.0,350.0,6584.81,Economy,Available,2026-09-08T08:51:43.581281,SG-8101,SG,"{'scraped_at': '2026-09-08T08:51:43.581224', 'source': 'Cleartrip'}"
Ixigo,ota,DEL-CCU,DEL,CCU,2026-09-15,T+7,5152.39,1111.06,350.0,6613.45,Economy,Available,2026-09-08T08:51:42.503007,IX-2841,IX,"{'scraped_at': '2026-09-08T08:51:42.502966', 'source': 'Ixigo'}"
Goibibo,ota,DEL-CCU,DEL,CCU,2026-09-15,T+7,5230.63,944.13,350.0,6524.76,Economy,Available,2026-09-08T08:51:52.337075,6E-6104,6E,"{'scraped_at': '2026-09-08T08:51:52.337010', 'source': 'Goibibo'}"
IndiGo,airline,DEL-CCU,DEL,CCU,2026-09-23,T+15,4365.23,1000.97,0.0,5366.2,Economy,Available,2026-09-08T08:51:52.715736,6E-512,6E,"{'scraped_at': '2026-09-08T08:51:52.715673', 'source': 'IndiGo'}"
Air India,airline,DEL-CCU,DEL,CCU,2026-09-23,T+15,5016.2,960.9,0.0,5977.1,Economy,Available,2026-09-08T08:51:52.157950,AI-805,AI,"{'scraped_at': '2026-09-08T08:51:52.157896', 'source': 'Air India'}"
Akasa Air,airline,DEL-CCU,DEL,CCU,2026-09-23,T+15,4040.91,867.12,0.0,4908.03,Economy,Available,2026-09-08T08:51:42.710478,QP-1301,QP,"{'scraped_at': '2026-09-08T08:51:42.710236', 'source': 'Akasa Air'}"
SpiceJet,airline,DEL-CCU,DEL,CCU,2026-09-23,T+15,4365.32,987.03,0.0,5352.35,Economy,Available,2026-09-08T08:51:43.025460,SG-8169,SG,"{'scraped_at': '2026-09-08T08:51:43.025408', 'source': 'SpiceJet'}"
Air India Express,airline,DEL-CCU,DEL,CCU,2026-09-23,T+15,4221.82,966.82,0.0,5188.64,Economy,Available,2026-09-08T08:51:44.939120,IX-1422,IX,"{'scraped_at': '2026-09-08T08:51:44.939054', 'source': 'Air India Express'}"
MakeMyTrip,ota,DEL-CCU,DEL,CCU,2026-09-23,T+15,4530.55,1072.17,350.0,5952.72,Economy,Available,2026-09-08T08:51:52.204877,6E-204,6E,"{'scraped_at': '2026-09-08T08:51:52.204806', 'source': 'MakeMyTrip'}"
Yatra,ota,DEL-CCU,DEL,CCU,2026-09-23,T+15,4363.14,1021.94,350.0,5735.08,Economy,Available,2026-09-08T08:51:50.183112,AI-506,AI,"{'scraped_at': '2026-09-08T08:51:50.183033', 'source': 'Yatra'}"
EaseMyTrip,ota,DEL-CCU,DEL,CCU,2026-09-23,T+15,4569.17,908.63,0.0,5477.8,Economy,Available,2026-09-08T08:51:42.097135,QP-1102,QP,"{'scraped_at': '2026-09-08T08:51:42.097100', 'source': 'EaseMyTrip'}"
Cleartrip,ota,DEL-CCU,DEL,CCU,2026-09-23,T+15,4431.2,827.01,350.0,5608.21,Economy,Available,2026-09-08T08:51:43.539536,SG-8101,SG,"{'scraped_at': '2026-09-08T08:51:43.539475', 'source': 'Cleartrip'}"
Ixigo,ota,DEL-CCU,DEL,CCU,2026-09-23,T+15,4510.11,1037.82,350.0,5897.93,Economy,Available,2026-09-08T08:51:42.504727,IX-2841,IX,"{'scraped_at': '2026-09-08T08:51:42.504653', 'source': 'Ixigo'}"
Goibibo,ota,DEL-CCU,DEL,CCU,2026-09-23,T+15,4557.39,1055.36,350.0,5962.75,Economy,Available,2026-09-08T08:51:52.745764,6E-6104,6E,"{'scraped_at': '2026-09-08T08:51:52.745693', 'source': 'Goibibo'}"
IndiGo,airline,DEL-CCU,DEL,CCU,2026-10-08,T+30,3886.84,767.04,0.0,4653.88,Economy,Available,2026-09-08T08:51:52.197943,6E-512,6E,"{'scraped_at': '2026-09-08T08:51:52.197881', 'source': 'IndiGo'}"
Air India,airline,DEL-CCU,DEL,CCU,2026-10-08,T+30,4066.53,926.39,0.0,4992.92,Economy,Available,2026-09-08T08:51:52.190301,AI-805,AI,"{'scraped_at': '2026-09-08T08:51:52.190242', 'source': 'Air India'}"
Akasa Air,airline,DEL-CCU,DEL,CCU,2026-10-08,T+30,3553.15,751.55,0.0,4304.7,Economy,Available,2026-09-08T08:51:42.826820,QP-1301,QP,"{'scraped_at': '2026-09-08T08:51:42.825764', 'source': 'Akasa Air'}"
SpiceJet,airline,DEL-CCU,DEL,CCU,2026-10-08,T+30,3876.73,747.07,0.0,4623.8,Economy,Available,2026-09-08T08:51:42.972842,SG-8169,SG,"{'scraped_at': '2026-09-08T08:51:42.972815', 'source': 'SpiceJet'}"
Air India Express,airline,DEL-CCU,DEL,CCU,2026-10-08,T+30,3730.15,803.96,0.0,4534.11,Economy,Available,2026-09-08T08:51:44.709394,IX-1422,IX,"{'scraped_at': '2026-09-08T08:51:44.709332', 'source': 'Air India Express'}"
MakeMyTrip,ota,DEL-CCU,DEL,CCU,2026-10-08,T+30,4007.35,837.96,350.0,5195.31,Economy,Available,2026-09-08T08:51:52.250462,6E-204,6E,"{'scraped_at': '2026-09-08T08:51:52.250407', 'source': 'MakeMyTrip'}"
Yatra,ota,DEL-CCU,DEL,CCU,2026-10-08,T+30,3949.51,939.3,350.0,5238.81,Economy,Available,2026-09-08T08:51:49.930612,AI-506,AI,"{'scraped_at': '2026-09-08T08:51:49.930549', 'source': 'Yatra'}"
EaseMyTrip,ota,DEL-CCU,DEL,CCU,2026-10-08,T+30,3952.94,785.96,0.0,4738.9,Economy,Available,2026-09-08T08:51:42.097565,QP-1102,QP,"{'scraped_at': '2026-09-08T08:51:42.097530', 'source': 'EaseMyTrip'}"
Cleartrip,ota,DEL-CCU,DEL,CCU,2026-10-08,T+30,4142.51,914.86,350.0,5407.37,Economy,Available,2026-09-08T08:51:43.595956,SG-8101,SG,"{'scraped_at': '2026-09-08T08:51:43.595906', 'source': 'Cleartrip'}"
Ixigo,ota,DEL-CCU,DEL,CCU,2026-10-08,T+30,3894.38,759.16,350.0,5003.54,Economy,Available,2026-09-08T08:51:42.504284,IX-2841,IX,"{'scraped_at': '2026-09-08T08:51:42.504211', 'source': 'Ixigo'}"
Goibibo,ota,DEL-CCU,DEL,CCU,2026-10-08,T+30,4033.61,946.06,350.0,5329.67,Economy,Available,2026-09-08T08:51:52.263895,6E-6104,6E,"{'scraped_at': '2026-09-08T08:51:52.263836', 'source': 'Goibibo'}"
IndiGo,airline,DEL-CCU,DEL,CCU,2026-10-23,T+45,3392.67,688.44,0.0,4081.11,Economy,Available,2026-09-08T08:51:52.323267,6E-512,6E,"{'scraped_at': '2026-09-08T08:51:52.323092', 'source': 'IndiGo'}"
Air India,airline,DEL-CCU,DEL,CCU,2026-10-23,T+45,4057.96,939.69,0.0,4997.65,Economy,Available,2026-09-08T08:51:52.725364,AI-805,AI,"{'scraped_at': '2026-09-08T08:51:52.725301', 'source': 'Air India'}"
Akasa Air,airline,DEL-CCU,DEL,CCU,2026-10-23,T+45,3229.79,723.22,0.0,3953.01,Economy,Available,2026-09-08T08:51:42.884781,QP-1301,QP,"{'scraped_at': '2026-09-08T08:51:42.884727', 'source': 'Akasa Air'}"
SpiceJet,airline,DEL-CCU,DEL,CCU,2026-10-23,T+45,3414.31,688.51,0.0,4102.82,Economy,Available,2026-09-08T08:51:43.024899,SG-8169,SG,"{'scraped_at': '2026-09-08T08:51:43.024857', 'source': 'SpiceJet'}"
Air India Express,airline,DEL-CCU,DEL,CCU,2026-10-23,T+45,3416.92,770.3,0.0,4187.22,Economy,Available,2026-09-08T08:51:44.836797,IX-1422,IX,"{'scraped_at': '2026-09-08T08:51:44.836732', 'source': 'Air India Express'}"
MakeMyTrip,ota,DEL-CCU,DEL,CCU,2026-10-23,T+45,3509.8,705.2,350.0,4565.0,Economy,Available,2026-09-08T08:51:52.272052,6E-204,6E,"{'scraped_at': '2026-09-08T08:51:52.271986', 'source': 'MakeMyTrip'}"
